"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: MATRIX_SIZE","Param: NUM_THREADS"
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"17413895,377778","5388994,308521","B/op",1000,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"5,000000",NaN,"counts",1000,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"35,000000",NaN,"ms",1000,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"959,809846","653,134508","ms/op",1000,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"16,910202","6,378251","MB/sec",1000,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"13937856,675556","3706920,602833","B/op",1000,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"5,000000",NaN,"counts",1000,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"35,000000",NaN,"ms",1000,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"0,011349","0,001429","ms/op",10,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"158,574823","21,796180","MB/sec",10,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"1860,802064","2,241527","B/op",10,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"34,000000",NaN,"counts",10,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"68,000000",NaN,"ms",10,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"0,011610","0,001419","ms/op",10,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"154,872113","20,553411","MB/sec",10,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"1860,739548","2,206000","B/op",10,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"34,000000",NaN,"counts",10,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"68,000000",NaN,"ms",10,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"0,011850","0,001507","ms/op",10,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"152,015542","22,073747","MB/sec",10,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"1860,722237","2,384594","B/op",10,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"33,000000",NaN,"counts",10,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"64,000000",NaN,"ms",10,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"0,223958","0,024719","ms/op",100,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"384,233032","43,107010","MB/sec",100,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"89368,952779","1,640572","B/op",100,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"78,000000",NaN,"counts",100,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"130,000000",NaN,"ms",100,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"0,225400","0,020643","ms/op",100,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"380,446525","33,755960","MB/sec",100,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"89369,121937","1,141580","B/op",100,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"78,000000",NaN,"counts",100,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"137,000000",NaN,"ms",100,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"0,219620","0,020710","ms/op",100,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"390,550751","34,853804","MB/sec",100,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"89368,615814","1,061231","B/op",100,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"81,000000",NaN,"counts",100,4
